Numéro notice,Titre,Auteur,Titre Périodique,Volume,Numéro,Date,DateDébut,DateFin,Collation,Editeur,Lieu,Notes,Type,Sujets
356,ZPN à l'ADISQ,"TURCOT, Geneviève",Le Droit,,,18 septembre 2004,2004-09-18,2004-09-18,p. A11,,,,Annonce,"ZPN (Muipatavi, David)|Le masque de Z|hip hop"
357,"Félix ou pas, ZPN sort déjà gagnant de l'ADISQ","SAVOIE, David",Le Droit,,,23 septembre 2004,2004-09-23,2004-09-23,p. 30,,,,Portrait,"ZPN (Muipatavi, David)|Le masque de Z|identité|rap|hip hop"
358,La fête du Hip-Hop à l'Astrolabe,"TURCOT, Geneviève",Le Droit,,,11 août 2006,2006-08-11,2006-08-11,p. 28,,,,Annonce,"ZPN (Muipatavi, David)|Z Show Festival|hip hop"
359,ZPN recrute,,Le Droit,,,7 octobre 2006,2006-10-07,2006-10-07,p. A2,,,,Portrait,"ZPN (Muipatavi, David)|Sacrifices|hip hop"
360,Le Nuit board explores new cultural directions,"PILON, Claire",Sudbury Star,,,17 février 2003,2003-02-17,2003-02-17,p. B7,,,,Texte d'information,"La Nuit sur l'étang|Doyon, Yves"
361,La Nuit sur l'étang,"BRADLEY, Lara",Sudbury Star,,,12 octobre 2001,2001-10-12,2001-10-12,p. B1,,,,Texte d'information,"La Nuit sur l'étang|Doyon, Yves|identité"
362,La Nuit sur l'étang gears up for show,,Sudbury Star,,,22 septembre 2001,2001-09-22,2001-09-22,p. B10,,,,Annonce,La Nuit sur l'étang
363,Organizers looking to expand La nuit sur l'étang,"PILON, Claire",Sudbury Star,,,12 juin 2001,2001-06-12,2001-06-12,p. B3,,,,Texte d'information,La Nuit sur l'étang
364,Les Concerts la nuit sur l'étang appoints artistic director,"PILON, Claire",Sudbury Star,,,16 avril 2004,2004-04-16,2004-04-16,p. B6,,,,Texte d'information,"Paquette, Stéphane (Stef)|La Nuit sur l'étang"
365,Government of Canada announces funding for the Theatre Nouvel-Ontario Inc. and for the Concerts La Nuit sur L'etang,,Canada NewsWire,,,17 mars 2003,2003-03-17,2003-03-17,p. 1,,,,Texte d'information,La Nuit sur l'étang|financement
366,"More music, more nights","BRADLEY, Lara",Sudbury Star,,,14 octobre 2004,2004-10-14,2004-10-14,p. B1,,,,Texte d'information,"La Nuit sur l'étang|Paquette, Stéphane (Stef)|programation"
367,La Nuit returns to roots : Francophone festival to be held March 25,"CARMICHAEL, Harold",Sudbury Star,,,16 décembre 2005,2005-12-16,2005-12-16,p. A4,,,,Texte d'information,La Nuit sur l'étang|programation
368,Il y a 60 ans. Naissance du chanteur Donald Poliquin et du poète Gilles Lacombe,"SYLVESTRE, Paul-François",L'Express de Toronto,,,30 mai - 5 juin 2006,2006-05-30,2006-06-05,p. 3,,,,Portrait,"Poliquin, Donald"
369,La Nuit sur l'etang marks 31 years in style,"PILON, Claire",Sudbury Star,,,3 octobre 2003,2003-10-03,2003-10-03,p. B9,,,,Texte d'information,La Nuit sur l'étang|programation
370,Sous le ciel de Philippe Flahaut,"DENIS, Dominique",L'Express de Toronto,,,25 avril - 1 mai 2006,2006-04-25,2006-05-01,p.8,,,,Critique,"Flahaut, Philippe|Philippe Flahaut (éponyme)"
371,L'événement sera présenté en deux soirs. La nuit sera longue sur l'étang,"DUMAS, Ève",Le Droit,,,8 mars 2000,2000-03-08,2000-03-08,p. 39,,,,Texte d'information,La Nuit sur l'étang|programation
372,Un album bien fignolé,"TURCOT, Geneviève",Le Droit,,,14 octobre 2006,2006-10-14,2006-10-14,p. A10,,,,Critique,"ZPN (Muipatavi, David)|Sacrifices"
